Gene_ID	MA001	MA002	MA003	MA004	MA005	MA006	MA007	MA008	MA009	MA010	MA011	MA012	MA013	MH001	MH002	MH003	MH004	MH005	MH006	MH007	MH008	MH009	MH010	MH011	MH012	MH013	SA004	SA006	SA007	SA008	SA009	SA010	SA011	SA012	SH001	SH002	SH003	SH005	SH008	SH009	SH010	SH011	SH012
IHJHGAMB_01459	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	13	2	9	0	1	0	0	4	0	0	1	0	0	0	0	0	0	0	0	13	119	232	50	0	0	163	1	0
IHJHGAMB_01460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	15	4	15	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	7	205	378	95	1	0	240	0	0
IHJHGAMB_01591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	59	36	15	0	0	24	0	0
IHJHGAMB_01788	0	0	1	0	0	0	0	0	0	0	0	0	0	22	115	53	94	36	0	28	10	13	21	33	1	0	0	0	0	0	0	0	0	0	115	3303	1578	362	77	45	864	649	40
IHJHGAMB_01816	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	13	2	3	0	6	0	1	5	3	0	0	0	0	0	0	0	0	0	0	19	419	193	52	9	7	107	68	2
IHJHGAMB_01817	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	9	4	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	26	104	213	57	0	0	110	0	1
IHJHGAMB_01818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	7	6	6	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	141	231	39	0	0	127	0	0
IHJHGAMB_01819	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	11	2	2	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	16	215	164	68	5	0	72	8	0
IHJHGAMB_01820	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	18	4	6	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	12	341	335	84	2	0	223	11	2
IHJHGAMB_01821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	9	4	8	0	0	0	0	7	0	0	0	1	0	0	0	0	0	0	0	1	236	298	72	0	0	204	1	1
